Education Level,Salary,Years of Experience,Age
Master Degree or Equivalent,102806,14.0,39.5
Secondary Education,4761,6.0,29.5
Bachelor Degree or Equivalent,44978,4.0,29.5
Bachelor Degree or Equivalent,30292,4.0,29.5
Bachelor Degree or Equivalent,16230,15.0,39.5
Bachelor Degree or Equivalent,70867,3.0,39.5
Master Degree or Equivalent,67199,7.0,29.5
Master Degree or Equivalent,64254,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,53533,6.0,29.5
Secondary Education,31175,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,11.237177936373532,49.5
Master Degree or Equivalent,4000,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,40000,4.0,21.0
Master Degree or Equivalent,77021,27.0,49.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,40.0,59.5
Bachelor Degree or Equivalent,103110.08171765343,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,41765,1.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,12.0,29.5
Professional Degree,103110.08171765343,15.0,39.5
Master Degree or Equivalent,9000000,2.0,29.5
Bachelor Degree or Equivalent,74963,3.0,39.5
Bachelor Degree or Equivalent,8482,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,36518,10.0,29.5
Bachelor Degree or Equivalent,58801,34.0,59.5
Associate Degree or Short-cycle Tertiary Education,2744,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,41765,4.0,29.5
Bachelor Degree or Equivalent,74963,9.0,39.5
Professional Degree,96657,3.0,49.5
Bachelor Degree or Equivalent,73000,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,69608,23.0,39.5
Secondary Education,103110.08171765343,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,50000,6.0,29.5
Master Degree or Equivalent,71779,10.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,7.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,17.0,39.5
Professional Degree,128507,25.0,59.5
Bachelor Degree or Equivalent,48468,6.0,29.5
,103110.08171765343,10.0,29.5
,103110.08171765343,3.0,39.5
Bachelor Degree or Equivalent,55108,15.0,39.5
Master Degree or Equivalent,36351,2.0,29.5
Bachelor Degree or Equivalent,210,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,12.0,29.5
Bachelor Degree or Equivalent,76607,19.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,23.0,49.5
Professional Degree,138212,22.0,49.5
Professional Degree,85672,20.0,39.5
Bachelor Degree or Equivalent,14540,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,53545,26.0,49.5
Master Degree or Equivalent,113515,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,78711,9.0,39.5
Bachelor Degree or Equivalent,107090,25.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,9.0,39.5
Master Degree or Equivalent,85672,17.0,39.5
Professional Degree,38552,12.0,39.5
Master Degree or Equivalent,103110.08171765343,22.0,39.5
Secondary Education,110000,25.0,49.5
Bachelor Degree or Equivalent,24345,7.0,29.5
Master Degree or Equivalent,1974,10.0,39.5
Master Degree or Equivalent,27843,20.0,39.5
,52138,5.0,21.0
Bachelor Degree or Equivalent,103110.08171765343,26.0,49.5
Bachelor Degree or Equivalent,156138,26.0,49.5
Master Degree or Equivalent,103110.08171765343,10.0,49.5
Bachelor Degree or Equivalent,62112,6.0,29.5
Master Degree or Equivalent,182052,20.0,49.5
Bachelor Degree or Equivalent,66643,8.0,29.5
Master Degree or Equivalent,48190,12.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,0.0,21.0
Bachelor Degree or Equivalent,103110.08171765343,26.0,33.12089367216994
Secondary Education,54592,12.0,29.5
Primary Education,103110.08171765343,11.237177936373532,29.5
Associate Degree or Short-cycle Tertiary Education,96000,32.0,59.5
Master Degree or Equivalent,34804,5.0,29.5
Secondary Education,6683,2.0,18.0
Secondary Education,42836,16.0,39.5
Bachelor Degree or Equivalent,7270,9.0,29.5
Bachelor Degree or Equivalent,80317,8.0,39.5
Bachelor Degree or Equivalent,350000,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,128507,37.0,59.5
Associate Degree or Short-cycle Tertiary Education,72607,20.0,49.5
Master Degree or Equivalent,28403,23.0,39.5
Associate Degree or Short-cycle Tertiary Education,12000,2.0,21.0
Professional Degree,53116,7.0,29.5
Bachelor Degree or Equivalent,96220,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,81349,12.0,39.5
Bachelor Degree or Equivalent,58899,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,150000,42.0,59.5
Master Degree or Equivalent,64254,5.0,29.5
Bachelor Degree or Equivalent,11511,2.0,21.0
Bachelor Degree or Equivalent,700,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,19.0,49.5
Master Degree or Equivalent,165000,10.0,29.5
Bachelor Degree or Equivalent,38282,2.0,29.5
Master Degree or Equivalent,74254,13.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,3.0,39.5
Associate Degree or Short-cycle Tertiary Education,25701,3.0,39.5
Bachelor Degree or Equivalent,53545,30.0,49.5
Bachelor Degree or Equivalent,32127,1.0,21.0
Master Degree or Equivalent,235597,10.0,29.5
Bachelor Degree or Equivalent,69608,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,25.0,39.5
Master Degree or Equivalent,89722,10.0,39.5
Bachelor Degree or Equivalent,149925,15.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,20.0,39.5
Master Degree or Equivalent,80317,15.0,49.5
Bachelor Degree or Equivalent,78175,10.0,29.5
Master Degree or Equivalent,54748,7.0,29.5
Master Degree or Equivalent,103110.08171765343,20.0,49.5
Associate Degree or Short-cycle Tertiary Education,3347,20.0,39.5
Bachelor Degree or Equivalent,54823,4.0,29.5
Master Degree or Equivalent,117798,23.0,49.5
Bachelor Degree or Equivalent,53545,7.0,39.5
Master Degree or Equivalent,74963,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,41.0,59.5
Professional Degree,103110.08171765343,11.237177936373532,39.5
Master Degree or Equivalent,33198,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,111420,27.0,49.5
Professional Degree,96381,6.0,29.5
Master Degree or Equivalent,53545,4.0,29.5
Master Degree or Equivalent,48190,2.0,21.0
Master Degree or Equivalent,118112,7.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,11.237177936373532,18.0
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,1.0,29.5
Associate Degree or Short-cycle Tertiary Education,14303,5.0,21.0
Secondary Education,103110.08171765343,35.0,59.5
Master Degree or Equivalent,42836,8.0,29.5
Master Degree or Equivalent,64254,21.0,49.5
Master Degree or Equivalent,56805,3.0,29.5
Master Degree or Equivalent,107090,8.0,29.5
Professional Degree,103110.08171765343,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,160000,28.0,49.5
Bachelor Degree or Equivalent,38530,2.0,29.5
Secondary Education,46439,12.0,29.5
Bachelor Degree or Equivalent,148000,17.0,39.5
Bachelor Degree or Equivalent,50678,5.0,29.5
Bachelor Degree or Equivalent,42836,2.0,29.5
Master Degree or Equivalent,63429,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,42.0,59.5
Bachelor Degree or Equivalent,43448,2.0,29.5
Master Degree or Equivalent,74963,22.0,49.5
Bachelor Degree or Equivalent,67466,10.0,29.5
Master Degree or Equivalent,44633,6.0,29.5
Bachelor Degree or Equivalent,6000,2.0,29.5
Master Degree or Equivalent,104343,22.0,59.5
Master Degree or Equivalent,68276,7.0,29.5
Bachelor Degree or Equivalent,19490,3.0,29.5
Professional Degree,136481,25.0,49.5
Master Degree or Equivalent,52345,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,6289,4.0,21.0
Bachelor Degree or Equivalent,21810,11.0,29.5
Bachelor Degree or Equivalent,25000,4.0,29.5
NA,103110.08171765343,11.237177936373532,18.0
Master Degree or Equivalent,294007,12.0,39.5
Bachelor Degree or Equivalent,120000,21.0,39.5
Associate Degree or Short-cycle Tertiary Education,120000,19.0,49.5
Secondary Education,21418,0.0,21.0
Bachelor Degree or Equivalent,44978,10.0,39.5
Bachelor Degree or Equivalent,4685,2.0,29.5
Master Degree or Equivalent,96381,9.0,29.5
Master Degree or Equivalent,240000,26.0,49.5
Bachelor Degree or Equivalent,372415,24.0,39.5
Secondary Education,103110.08171765343,20.0,49.5
Secondary Education,58006,23.0,39.5
Master Degree or Equivalent,91026,12.0,29.5
Bachelor Degree or Equivalent,171008,7.0,29.5
,68403,7.0,29.5
Bachelor Degree or Equivalent,80317,8.0,29.5
Master Degree or Equivalent,250000,10.0,39.5
Bachelor Degree or Equivalent,61041,13.0,29.5
Bachelor Degree or Equivalent,119034,7.0,29.5
Professional Degree,107090,3.0,29.5
Bachelor Degree or Equivalent,19387,6.0,29.5
Bachelor Degree or Equivalent,103525,6.0,29.5
,103110.08171765343,12.0,29.5
Master Degree or Equivalent,58899,11.0,29.5
Secondary Education,103110.08171765343,6.0,21.0
Associate Degree or Short-cycle Tertiary Education,57104,5.0,29.5
Master Degree or Equivalent,35982,4.0,29.5
Bachelor Degree or Equivalent,10484,2.0,29.5
Bachelor Degree or Equivalent,171343,13.0,29.5
Master Degree or Equivalent,53545,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,18.0,49.5
Associate Degree or Short-cycle Tertiary Education,57312,5.0,29.5
Bachelor Degree or Equivalent,170000,10.0,39.5
Professional Degree,6188,8.0,29.5
Secondary Education,23131,2.0,21.0
Bachelor Degree or Equivalent,150000,31.0,49.5
Bachelor Degree or Equivalent,80000,7.0,21.0
Associate Degree or Short-cycle Tertiary Education,8189,3.0,29.5
Professional Degree,103110.08171765343,11.237177936373532,70.0
Master Degree or Equivalent,80317,22.0,49.5
Master Degree or Equivalent,103110.08171765343,0.0,21.0
,103110.08171765343,32.0,49.5
Master Degree or Equivalent,74963,10.0,39.5
Master Degree or Equivalent,148703,10.0,29.5
Professional Degree,200000,50.0,70.0
Bachelor Degree or Equivalent,103110.08171765343,20.0,49.5
Master Degree or Equivalent,103110.08171765343,20.0,39.5
Bachelor Degree or Equivalent,2132,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,20.0,39.5
Professional Degree,96381,12.0,39.5
Master Degree or Equivalent,159814,13.0,39.5
Secondary Education,103110.08171765343,11.0,29.5
Bachelor Degree or Equivalent,78711,10.0,29.5
Bachelor Degree or Equivalent,92097,3.0,29.5
Bachelor Degree or Equivalent,185000,7.0,29.5
Master Degree or Equivalent,81787,10.0,29.5
Professional Degree,103110.08171765343,11.237177936373532,21.0
Bachelor Degree or Equivalent,73000,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,47.0,59.5
Secondary Education,103110.08171765343,11.237177936373532,39.5
Master Degree or Equivalent,72000,3.0,21.0
Professional Degree,103110.08171765343,30.0,59.5
Master Degree or Equivalent,144571,24.0,49.5
Master Degree or Equivalent,105000,5.0,29.5
Bachelor Degree or Equivalent,88833,3.0,21.0
Bachelor Degree or Equivalent,47173,23.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,27.0,49.5
Master Degree or Equivalent,74963,3.0,29.5
Bachelor Degree or Equivalent,10000,3.0,29.5
Professional Degree,35340,2.0,39.5
Associate Degree or Short-cycle Tertiary Education,50000,0.0,21.0
Bachelor Degree or Equivalent,107090,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,40000,5.0,29.5
Bachelor Degree or Equivalent,803,3.0,29.5
Master Degree or Equivalent,22398,15.0,29.5
Master Degree or Equivalent,59970,6.0,39.5
Secondary Education,48190,5.0,29.5
Master Degree or Equivalent,53545,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,204466,20.0,39.5
Bachelor Degree or Equivalent,169000,15.0,29.5
Master Degree or Equivalent,1212,11.237177936373532,39.5
,110000,5.0,29.5
Master Degree or Equivalent,128507,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,29702,34.0,59.5
Associate Degree or Short-cycle Tertiary Education,19276,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,61041,20.0,39.5
Master Degree or Equivalent,110216,7.0,29.5
Master Degree or Equivalent,100000,14.0,39.5
Bachelor Degree or Equivalent,47548,3.0,21.0
Professional Degree,57128,11.0,39.5
Master Degree or Equivalent,128507,25.0,49.5
Master Degree or Equivalent,102806,6.0,29.5
Bachelor Degree or Equivalent,148966,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,110000,23.0,39.5
Bachelor Degree or Equivalent,13329,4.0,29.5
Bachelor Degree or Equivalent,16063,0.0,21.0
Bachelor Degree or Equivalent,103110.08171765343,21.0,39.5
Master Degree or Equivalent,165357,8.0,29.5
Bachelor Degree or Equivalent,125000,11.0,29.5
Professional Degree,42836,6.0,29.5
Bachelor Degree or Equivalent,92545,9.0,29.5
Bachelor Degree or Equivalent,91026,10.0,29.5
Bachelor Degree or Equivalent,128507,6.0,29.5
Master Degree or Equivalent,8567,5.0,29.5
Master Degree or Equivalent,144571,17.0,49.5
Secondary Education,103110.08171765343,32.0,59.5
Professional Degree,29985,13.0,49.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,3.0,29.5
Bachelor Degree or Equivalent,72821,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,22000,42.0,59.5
Bachelor Degree or Equivalent,103110.08171765343,17.0,39.5
Bachelor Degree or Equivalent,70634,6.0,39.5
Master Degree or Equivalent,105517,6.0,29.5
Bachelor Degree or Equivalent,53545,11.0,39.5
Bachelor Degree or Equivalent,170000,8.0,39.5
Master Degree or Equivalent,72821,5.0,29.5
Master Degree or Equivalent,165324,7.0,29.5
Master Degree or Equivalent,64254,16.0,49.5
Bachelor Degree or Equivalent,120000,5.0,29.5
Master Degree or Equivalent,104948,7.0,29.5
Bachelor Degree or Equivalent,200000,12.0,39.5
Bachelor Degree or Equivalent,150000,8.0,39.5
Bachelor Degree or Equivalent,42836,4.0,21.0
Bachelor Degree or Equivalent,29000,27.0,49.5
Master Degree or Equivalent,53314,19.0,39.5
Master Degree or Equivalent,77062,1.0,29.5
Bachelor Degree or Equivalent,128507,5.0,29.5
Bachelor Degree or Equivalent,37481,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,57730,15.0,39.5
Bachelor Degree or Equivalent,163000,17.0,39.5
Professional Degree,78175,12.0,39.5
Professional Degree,107090,25.0,49.5
Bachelor Degree or Equivalent,235000,24.0,49.5
Bachelor Degree or Equivalent,39623,1.0,29.5
Master Degree or Equivalent,187407,25.0,49.5
Primary Education,103110.08171765343,5.0,29.5
Master Degree or Equivalent,64254,9.0,29.5
Master Degree or Equivalent,148792,18.0,49.5
,58899,6.0,29.5
Bachelor Degree or Equivalent,350000,9.0,29.5
Master Degree or Equivalent,128507,3.0,29.5
Bachelor Degree or Equivalent,8115,4.0,29.5
Bachelor Degree or Equivalent,3026,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,78956,1.0,39.5
Master Degree or Equivalent,85672,30.0,59.5
Bachelor Degree or Equivalent,137770,6.0,29.5
Bachelor Degree or Equivalent,81787,22.0,39.5
Associate Degree or Short-cycle Tertiary Education,21418,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,89570,8.0,39.5
Bachelor Degree or Equivalent,80317,7.0,29.5
Bachelor Degree or Equivalent,118962,11.0,29.5
,103110.08171765343,11.237177936373532,39.5
Master Degree or Equivalent,51403,4.0,21.0
Bachelor Degree or Equivalent,130000,11.0,59.5
Master Degree or Equivalent,98522,12.0,39.5
Professional Degree,103110.08171765343,23.0,33.12089367216994
Bachelor Degree or Equivalent,69608,10.0,29.5
Master Degree or Equivalent,69608,13.0,29.5
Bachelor Degree or Equivalent,49797,3.0,21.0
Bachelor Degree or Equivalent,52138,4.0,29.5
Secondary Education,97381,15.0,29.5
Bachelor Degree or Equivalent,81150,9.0,29.5
Bachelor Degree or Equivalent,90000,2.0,39.5
Associate Degree or Short-cycle Tertiary Education,14698,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,23504,13.0,29.5
Bachelor Degree or Equivalent,48190,11.0,39.5
Bachelor Degree or Equivalent,85672,5.0,21.0
Master Degree or Equivalent,75177,3.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,14.0,29.5
Master Degree or Equivalent,117931,4.0,29.5
Bachelor Degree or Equivalent,208000,36.0,59.5
Bachelor Degree or Equivalent,235000,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,69608,15.0,39.5
Master Degree or Equivalent,1974,3.0,29.5
Master Degree or Equivalent,12117,5.0,29.5
Master Degree or Equivalent,171343,15.0,39.5
Master Degree or Equivalent,103110.08171765343,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,455,4.0,29.5
Master Degree or Equivalent,96381,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,150000,11.0,29.5
Bachelor Degree or Equivalent,70759,2.0,21.0
Professional Degree,91026,7.0,39.5
Master Degree or Equivalent,72821,8.0,29.5
Master Degree or Equivalent,66396,7.0,29.5
Bachelor Degree or Equivalent,100649,19.0,39.5
Secondary Education,49679,6.0,29.5
,103110.08171765343,11.237177936373532,29.5
Bachelor Degree or Equivalent,48190,20.0,39.5
Bachelor Degree or Equivalent,92000,3.0,29.5
Master Degree or Equivalent,15417,6.0,39.5
Secondary Education,103110.08171765343,14.0,49.5
Master Degree or Equivalent,103110.08171765343,18.0,59.5
Associate Degree or Short-cycle Tertiary Education,17105,15.0,39.5
Bachelor Degree or Equivalent,104963,13.0,29.5
Professional Degree,132208,26.0,59.5
Master Degree or Equivalent,132260,25.0,49.5
Master Degree or Equivalent,70679,13.0,29.5
Associate Degree or Short-cycle Tertiary Education,72500,6.0,29.5
Master Degree or Equivalent,74963,9.0,29.5
Master Degree or Equivalent,44978,6.0,29.5
Master Degree or Equivalent,250000,30.0,59.5
Bachelor Degree or Equivalent,21418,5.0,29.5
Bachelor Degree or Equivalent,139000,12.0,39.5
Bachelor Degree or Equivalent,54621,18.0,39.5
,58899,3.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,27.0,49.5
Associate Degree or Short-cycle Tertiary Education,32127,12.0,29.5
Associate Degree or Short-cycle Tertiary Education,92939,25.0,39.5
Master Degree or Equivalent,37481,7.0,29.5
Bachelor Degree or Equivalent,38167,4.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,11.237177936373532,70.0
Bachelor Degree or Equivalent,2403,1.0,21.0
